x,y,xt,yt,cat,trial_type,sub_task,condition,trial
40.307616021936596,27.44018040234637,1.1560697796656745,32.76509055603619,1,trial_zero,2,two_finger_four_key,1
55.65883873817718,42.848908491966526,1.590813998189903,46.22835265530487,1,stay,2,two_finger_four_key,2
45.71236013489108,60.048372613516726,1.2935813677491377,61.15139733968532,2,stay,2,two_finger_four_key,3
53.14718587018391,36.53939947223827,1.5098608294595337,40.58182173731129,2,switch,1,two_finger_four_key,4
65.29813717636613,47.67427595420806,1.9438866754714716,50.55544975884863,1,switch,2,two_finger_four_key,5
38.33924238015478,57.88089455046963,1.1097058189868025,59.38195197133941,1,switch,1,two_finger_four_key,6
60.06731946346486,45.08877750817579,1.7435401466476848,48.241343744507304,1,switch,2,two_finger_four_key,7
66.61068467289715,57.56147072236573,1.9976731289643834,59.11728994329781,1,stay,2,two_finger_four_key,8
51.09708792827232,32.44933675638046,1.4468472696284267,36.99815602155787,2,switch,1,two_finger_four_key,9
46.678441789472856,41.109481161805675,1.3198310408098661,44.664756504461025,2,stay,1,two_finger_four_key,10
58.534330606876495,74.36725727836875,1.6888367971096212,71.32637252609817,2,switch,2,two_finger_four_key,11
49.71645051949597,41.58955667716041,1.4058995465796507,45.09610525149685,2,switch,1,two_finger_four_key,12
56.6699912771751,43.42994541609978,1.6246171040238429,46.75082787456695,1,switch,2,two_finger_four_key,13
60.83999152799093,77.40059071304405,1.7717803299962822,73.06330623569117,1,switch,1,two_finger_four_key,14
70.64832694352631,51.909223412305934,2.1726410003644694,54.295729046102096,1,switch,2,two_finger_four_key,15
41.23125784007397,53.200042106049715,1.1784885447170412,55.4172451596539,2,stay,2,two_finger_four_key,16
45.57307929460692,59.12984418832515,1.2898402353203087,60.407347733271656,1,switch,1,two_finger_four_key,17
54.74821074530815,69.85666519342536,1.5609737995703012,68.4492364109367,1,stay,1,two_finger_four_key,18
54.22769938979104,43.95442904761518,1.5441693491016983,47.22234531483785,1,switch,2,two_finger_four_key,19
45.381916632503064,61.97709007513414,1.2847231482561279,62.683836982956414,2,stay,2,two_finger_four_key,20
46.305970449737046,34.440501901398996,1.3096480084260402,38.73152459284277,1,stay,2,two_finger_four_key,21
57.90366906828733,49.81837573896477,1.6668335824191165,52.459150384841124,1,stay,2,two_finger_four_key,22
32.517967296505034,42.75530391833983,0.9831878680197913,46.14417915850878,2,stay,2,two_finger_four_key,23
45.782434133799384,65.42188845229701,1.2954676810340804,65.30935316560924,2,stay,2,two_finger_four_key,24
