x,y,xt,yt,cat,trial_type,sub_task,condition,trial,message
53.625358985333925,44.043806170383206,1.5249487623806686,47.24637749315996,1,trial_zero,2,2F4K,1,None
67.20412963806852,47.56628902375211,2.0224778313127496,50.391286904985044,1,stay,2,2F4K,2,None
48.84895910861841,61.74487631216838,1.380765931218134,62.38966354437521,2,stay,2,2F4K,3,None
48.080705479822925,60.62407091524422,1.3588829238653772,61.50450123328504,2,stay,2,2F4K,4,None
37.999906384385085,49.766348456686956,1.101902970819859,52.338175029907475,2,stay,2,2F4K,5,None
50.32168376541318,30.92834132824428,1.423705266978284,35.67779466153444,2,switch,1,2F4K,6,None
38.23999233169327,23.454770132531635,1.1074179180029116,29.575454984888648,1,switch,2,2F4K,7,None
77.36696818069939,56.61288240612747,2.4984079157957106,58.22919595306942,2,switch,1,2F4K,8,None
63.916496727335414,49.39280682391768,1.888832671962129,52.008948595713655,2,stay,1,2F4K,9,None
74.25509556818203,52.256825346112436,2.3418568105707953,54.515751973742724,1,switch,2,2F4K,10,None
72.04961604511827,60.40031838968387,2.236880958069696,61.326113429672354,2,switch,1,2F4K,11,None
58.750148849862335,46.35825005591659,1.6964330153264757,49.315568725655496,1,switch,2,2F4K,12,None
71.42390527799401,57.58200982602492,2.207964778410368,59.034744163909146,1,stay,2,2F4K,13,None
40.46316350925757,50.8693988614268,1.1598151634045701,53.306619741591135,2,stay,2,2F4K,14,None
46.92447388963902,60.16644052631884,1.3266007224753096,61.139071915957345,1,switch,1,2F4K,15,None
60.864265539432424,40.84774321621509,1.7726748864570667,44.383899973578636,1,switch,2,2F4K,16,None
43.42697415378964,59.97431987127154,1.2335440408082852,60.98498585205015,1,switch,1,2F4K,17,None
46.95698370417579,55.421176284096205,1.3274978377306796,57.22753401455211,2,switch,2,2F4K,18,None
55.37042507177359,65.41873115318494,1.5813018131830106,65.18483966717412,2,stay,2,2F4K,19,None
67.61596234693772,56.289363731360524,2.0398723437171227,57.95844466130018,2,switch,1,2F4K,20,None
41.60520014886936,24.027502570157477,1.1876880886599317,30.02258317215468,2,stay,1,2F4K,21,None
58.470366255276716,70.20474606197963,1.6865919663490454,68.54860165753011,1,stay,1,2F4K,22,None
48.901354282881236,37.49639551205137,1.3822711328377604,41.39697218971455,2,stay,1,2F4K,23,None
31.776017682644895,50.428429115185104,0.9681352614392568,52.92016492612496,2,switch,2,2F4K,24,None
38.89874426565626,57.60684937474141,1.1226921056608954,59.055279235494844,1,switch,1,2F4K,25,None
30.075816839446993,44.51462336584926,0.9345051405917082,47.66789813250428,1,stay,1,2F4K,26,None
53.11009887267457,40.048414791397725,1.5086968699965828,43.669251887445405,2,stay,1,2F4K,27,None
61.135226968362346,45.29983032733837,1.7826911875023892,48.37032800104299,2,stay,1,2F4K,28,None
44.55566614150064,57.625712743780745,1.2628383551736004,59.07086993206203,1,stay,1,2F4K,29,None
37.30036304571265,58.95768188326814,1.0859900547814414,60.16318310539172,2,switch,2,2F4K,30,None
45.399431627193515,60.99332476852856,1.2851911477308176,61.79768462978272,2,stay,2,2F4K,31,None
40.82813905032038,50.82092148042269,1.168651013318605,53.26418332282841,1,switch,1,2F4K,32,None
56.90783019459879,44.424883564322585,1.6326719093527262,47.587570750685444,1,switch,2,2F4K,33,None
48.0977380295994,65.25371952275431,1.35936430086499,65.06302423683934,1,switch,1,2F4K,34,None
47.2568454809553,56.55487915745395,1.3358012454324963,58.18071947362688,2,switch,2,2F4K,35,None
29.230285262143997,41.254478167741084,0.9182179611773325,44.747885466863785,1,switch,1,2F4K,36,None
65.84901517343475,54.14904976425632,1.96628228678449,56.145837110642844,1,switch,2,2F4K,37,None
43.37693724186946,30.797888483346785,1.2322612201217364,35.5669299202467,1,stay,2,2F4K,38,None
46.017869561581605,28.535707409612467,1.3018255071247802,33.66628653893935,1,stay,2,2F4K,39,None
47.815774736633685,69.40352704105949,1.351417312428343,68.00934900126032,2,stay,2,2F4K,40,None
40.503765564237476,33.626126340352144,1.1607948042006928,37.99737284813576,2,switch,1,2F4K,41,Nice work! Press the space bar to continue.
22.70657113670396,44.90290874145677,0.8017348733303302,48.015352368100835,2,switch,2,2F4K,42,None
63.25184182802452,43.39878633650607,1.8629064847216503,46.66863096234362,2,switch,1,2F4K,43,None
47.78572575509196,29.471057972548365,1.3505731417303777,34.44695736354782,2,stay,1,2F4K,44,None
42.155955549951365,64.05419282298391,1.2013684372385023,64.16663244323685,2,switch,2,2F4K,45,None
41.76430060955358,48.97626387844054,1.1916239443107468,51.641131487488785,2,stay,2,2F4K,46,None
53.55087081401409,73.09606401596918,1.5225885397191654,70.40869700920541,2,stay,2,2F4K,47,None
53.56945546593272,46.49222600398085,1.523177068389574,49.435053403411615,2,switch,1,2F4K,48,None
47.27092631979043,65.57448262241972,1.336192429060677,65.29948071231198,2,switch,2,2F4K,49,None
34.85565327988862,46.49011956037967,1.0321621258019267,49.433175121869745,2,stay,2,2F4K,50,None
58.74196748743131,47.96145095034402,1.6961444314108165,50.742257373062436,2,switch,1,2F4K,51,None
