x,y,xt,yt,cat,trial_type,sub_task,condition,trial,message
26.45426453019261,48.57844428741656,0.8667140133250151,51.02308709328598,2,trial_zero,2,4F4K,1,None
40.81935036858327,32.18025383156452,1.1684374554345334,36.67658017557506,2,switch,1,4F4K,2,None
65.10850969515276,48.88972711588315,1.936236648558186,51.29482263398259,1,switch,2,4F4K,3,None
39.64291907272805,55.62186672387889,1.140200526039984,57.049168692872264,1,switch,1,4F4K,4,None
44.25714238500333,62.27859622091469,1.2550234069352062,62.38582746981673,1,stay,1,4F4K,5,None
33.291704347981394,43.320380057428075,0.9991347241524431,46.39505067774931,2,switch,2,4F4K,6,None
35.556613529777046,54.39934869575894,1.0473171634981304,56.02564072284637,1,switch,1,4F4K,7,None
55.67472695587347,43.80393228717264,1.591339668012341,46.82241405001438,1,switch,2,4F4K,8,None
38.85045932878519,50.71451500813155,1.1215654244740543,52.87968703137271,2,stay,2,4F4K,9,None
33.39181835141943,55.41808392157178,1.001216901586342,56.87935335021654,1,switch,1,4F4K,10,None
44.604827122130914,49.082727409484384,1.2641299818909475,51.46311756341852,2,switch,2,4F4K,11,None
48.18349087979357,55.61171825340188,1.3617904551217814,57.040719603233335,1,switch,1,4F4K,12,None
53.1063121310143,44.92491131723792,1.5085780752367146,47.8124690473043,1,switch,2,4F4K,13,None
73.11982595800222,58.15061767561828,2.2872194266187673,59.12730878493892,2,switch,1,4F4K,14,None
38.53641117107692,27.772452424828323,1.11426496354139,33.013263503309496,1,switch,2,4F4K,15,None
63.9120953408372,40.80593763954714,1.8886598058618145,44.1733015622435,2,switch,1,4F4K,16,None
30.772654480413433,49.830038070302166,0.9481450142413251,52.11333648045544,1,stay,1,4F4K,17,None
68.38915519716524,46.15729221421659,2.0729346790581773,48.89896567020272,1,switch,2,4F4K,18,None
66.08890461179129,54.77434310014267,1.9761153169017247,56.34079769054296,1,stay,2,4F4K,19,None
45.233510074663315,61.5552624832323,1.2807645684288627,61.82821691360387,2,stay,2,4F4K,20,None
51.88147075721903,64.98017593276612,1.4706399920698152,64.41252201382402,2,stay,2,4F4K,21,None
52.55264577164968,60.27321346673422,1.4913091626961288,60.825437587363524,1,switch,1,4F4K,22,None
59.11688805684217,42.01373812153301,1.7094196857220685,45.240099617489264,2,stay,1,4F4K,23,None
74.61834080577857,60.81745624141165,2.3596129370636243,61.25333269584586,2,stay,1,4F4K,24,None
41.694782834736614,52.26186906002439,1.1899025992677459,54.21076275393194,1,stay,1,4F4K,25,None
47.80380689492867,27.771715760588528,1.3510810347881215,33.012665011382786,1,switch,2,4F4K,26,None
45.23119359207242,37.90010891771387,1.2807028756118923,41.61669139867107,1,stay,2,4F4K,27,None
57.82588521070449,42.17384717754432,1.6641397085762566,45.381600477473775,1,stay,2,4F4K,28,None
58.09166629632521,41.08711476102799,1.673362475731823,44.42152378919319,1,stay,2,4F4K,29,None
46.46683294275772,34.40490604542695,1.3140361705715222,38.578210612043556,2,switch,1,4F4K,30,None
62.24755128772925,41.89665275239157,1.8244056442282608,45.13663074163908,2,stay,1,4F4K,31,None
52.18682710119358,35.62415924727307,1.4800078346832413,39.632084318427864,1,switch,2,4F4K,32,None
74.87577444675605,60.07286213841874,2.3722782443395287,60.66711824301484,1,stay,2,4F4K,33,None
49.436079668397,61.69476452142925,1.3977267915575475,61.93622619941922,1,switch,1,4F4K,34,None
42.478593582116794,59.054276732992854,1.2094555996345508,59.855777632941795,2,switch,2,4F4K,35,None
48.4449263154078,56.48456286174152,1.3692138487132766,57.76434145471473,1,switch,1,4F4K,36,None
41.168864204191195,48.221410498964545,1.1769605189759207,50.71098006519009,1,stay,1,4F4K,37,None
59.7540913106712,68.00259254586737,1.732220682751957,66.565811862444,2,switch,2,4F4K,38,None
38.41193279821878,57.00423823375038,1.1113844684543166,58.192130060576794,1,switch,1,4F4K,39,None
47.790473457435354,32.91546885562277,1.3507064845842531,37.30169636936159,2,stay,1,4F4K,40,None
59.850817472864264,65.50381369677864,1.735708315343906,64.79456331382399,1,stay,1,4F4K,41,Nice work! Press the space bar to continue.
48.889937221905214,52.12183250960975,1.381943005267593,54.090850092878895,2,switch,2,4F4K,42,None
54.55220598627862,38.460516934931356,1.554624523709174,42.1081573216772,1,stay,2,4F4K,43,None
44.74444319964187,56.693661568256715,1.2678053806291862,57.9367481355671,2,stay,2,4F4K,44,None
28.599116540013455,38.94657783738427,0.9062452894514142,42.535138964105826,2,stay,2,4F4K,45,None
39.94269425473847,55.02215401184672,1.147330335949583,56.54849187395876,1,switch,1,4F4K,46,None
48.06432482574326,53.61283772761133,1.3584201316637305,55.36136519662414,1,stay,1,4F4K,47,None
71.91209001903698,57.710314993169945,2.2304931238250347,58.76954528522198,1,switch,2,4F4K,48,None
52.968024340938584,36.09003518955582,1.50424621873286,40.036631094490154,2,switch,1,4F4K,49,None
31.40187170451183,43.77630580318809,0.9606322519948728,46.79800089284523,2,switch,2,4F4K,50,None
48.370903699933066,29.97935344088345,1.3671078979052493,34.827906243159795,2,switch,1,4F4K,51,None
43.653663907854074,57.42943692046062,1.2393725471719055,58.540386460808705,2,switch,2,4F4K,52,None
47.71003778338127,30.845325972751663,1.3484491639392435,35.55099984500788,1,stay,2,4F4K,53,None
57.10550587972036,69.6668871315848,1.6393969016231407,67.69541061915265,1,switch,1,4F4K,54,None
52.82339518230025,36.87402820804239,1.4997290261960692,40.71948943803318,2,stay,1,4F4K,55,None
43.814184554304504,64.7092672522018,1.2435164018100124,64.21345030705525,1,stay,1,4F4K,56,None
46.54557246527114,55.665511774669376,1.3161894599859307,57.085495935154114,1,stay,1,4F4K,57,None
48.9850589760211,69.5011545789107,1.384679195489197,67.58479653945487,1,stay,1,4F4K,58,None
53.25125830598584,72.09899666641385,1.513131895949402,69.26914751705797,1,stay,1,4F4K,59,None
44.90217737704697,65.18590190325247,1.271970596812271,64.56305162554445,1,stay,1,4F4K,60,None
39.00423153507568,20.390774507421792,1.1251574855260946,27.307734924594662,2,stay,1,4F4K,61,None
42.684072132717255,52.044698019382515,1.2146344253697587,54.02475109018612,2,switch,2,4F4K,62,None
41.12278528476207,54.15344584644831,1.1758333141325363,55.81842195594464,2,stay,2,4F4K,63,None
48.049848205437655,52.1901363356009,1.3580112641155853,54.149352779683944,2,stay,2,4F4K,64,None
50.15129088572613,60.08667774105323,1.418669691884776,60.67804907821561,1,switch,1,4F4K,65,None
60.622651992935594,48.40395758507513,1.7637909273487025,50.870612815503776,1,switch,2,4F4K,66,None
48.79178681193539,30.23342799127188,1.3791253630367337,35.039453113669495,2,switch,1,4F4K,67,None
37.64399620782978,41.72258298470126,1.0937779520619386,44.98282035143519,2,switch,2,4F4K,68,None
33.85610550912225,53.48100890909787,1.01093004299313,55.249607326486085,1,switch,1,4F4K,69,None
39.10707464628355,56.90089129622058,1.1275662797533927,58.107242806455886,2,switch,2,4F4K,70,None
46.25781139158749,62.79986652701897,1.3083371317214483,62.78387250829165,1,switch,1,4F4K,71,None
71.55420366737286,53.050896499121066,2.2139553242137398,54.88417963003462,2,stay,1,4F4K,72,None
69.17463353924155,49.22341403630955,2.10707111400458,51.58570272528642,1,switch,2,4F4K,73,None
36.35204210140961,46.6346316737878,1.0647843433458946,49.319005780608315,1,switch,1,4F4K,74,None
55.663690340858714,66.30865080382316,1.590974497531212,65.3745733511711,1,stay,1,4F4K,75,None
49.59773733914693,65.64813160534973,1.4024332636096488,64.89921319473109,1,stay,1,4F4K,76,None
53.6209287573675,37.345508139357186,1.5248082844705704,41.13129390455817,2,stay,1,4F4K,77,None
59.53263604230943,40.98833195280993,1.7242620884688233,44.33430774157957,1,switch,2,4F4K,78,None
47.37513655555508,36.77841841775153,1.3390910854862172,40.63608201387134,2,switch,1,4F4K,79,None
45.21777138134565,53.139796671521914,1.2803454723207253,54.959809020795745,2,switch,2,4F4K,80,None
48.62182351003731,66.82661788238602,1.3742597408166306,65.74313687580788,1,switch,1,4F4K,81,Nice work! Press the space bar to continue.
47.18278268574875,60.36067149563132,1.333745571282754,60.89441393682898,1,stay,1,4F4K,82,None
48.458913184001396,42.216590000820204,1.3696121407763249,45.419377645192114,1,switch,2,4F4K,83,None
31.562678471670182,46.44790237217103,0.9638498702516681,49.154752824186765,1,switch,1,4F4K,84,None
56.37932194089796,41.49494798696426,1.6148270494181511,44.78171266670252,2,stay,1,4F4K,85,None
55.87829612346937,38.05544486707268,1.5980902487518385,41.75282316402618,1,switch,2,4F4K,86,None
63.07382849985388,48.091487770081365,1.8560233427430888,50.59729644560658,2,switch,1,4F4K,87,None
43.11589020633431,61.32152100269562,1.2255902337858067,61.64674843565166,1,stay,1,4F4K,88,None
27.335740494264456,43.9253508863402,0.8827471815401974,46.929704399765455,2,switch,2,4F4K,89,None
58.50257399261414,43.524665004553235,1.687721924604442,46.575610299242506,2,switch,1,4F4K,90,None
68.65572255524785,55.79889471396144,2.084457094460204,57.19642045329898,2,stay,1,4F4K,91,None
66.72568616335948,46.117222267166085,2.002456058686421,48.8636828910287,2,stay,1,4F4K,92,None
30.93421205828904,44.274434740017995,0.9513356595220932,47.23810888078854,1,stay,1,4F4K,93,None
27.573383491063616,48.03046997746689,0.8871202027398536,50.54388580462974,1,stay,1,4F4K,94,None
72.13651359404676,59.95779485365467,2.2409266196909257,60.5759996039995,1,switch,2,4F4K,95,None
54.5735235428808,33.042876811922,1.555313819960695,37.41037592284749,2,switch,1,4F4K,96,None
40.086364133551115,51.35070914851394,1.1507631463201338,53.42853176150598,2,switch,2,4F4K,97,None
49.25089343720734,32.74693379815646,1.3923547202595512,37.158091629279305,1,stay,2,4F4K,98,None
66.27605177346875,54.525173864247314,1.9838205817799093,56.131503113610826,2,switch,1,4F4K,99,None
