cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,trial,cycle,target_angle
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.992039136621617,0.0,0.0,1.0,0.0,21,20,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.116228596693448,0.0,0.0,1.0,0.0,22,21,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.950982085158157,0.0,0.0,1.0,0.0,23,22,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.922142106899814,0.0,0.0,0.0,1.0,24,23,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.13989882943067,1.0,0.0,0.0,0.0,25,24,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.127973456919143,0.0,1.0,0.0,0.0,26,25,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.50669051242101,0.0,1.0,0.0,0.0,27,26,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.408242356131456,1.0,0.0,0.0,0.0,28,27,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.280521098523131,0.0,0.0,1.0,0.0,29,28,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.029103497435589,0.0,0.0,1.0,0.0,30,29,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.26987007699552,0.0,0.0,1.0,0.0,31,30,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.998344623343403,0.0,0.0,1.0,0.0,32,31,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.639258331526202,1.0,0.0,0.0,0.0,33,32,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.944466757463655,0.0,0.0,1.0,0.0,34,33,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.13268279675024,1.0,0.0,0.0,0.0,35,34,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.882330838163927,0.0,0.0,1.0,0.0,36,35,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.915353552424838,1.0,0.0,0.0,0.0,37,36,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.740379733590554,0.0,0.0,1.0,0.0,38,37,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.40534168576932,1.0,0.0,0.0,0.0,39,38,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.959402597774558,0.0,0.0,1.0,0.0,40,39,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.915757695199579,0.0,0.0,0.0,1.0,41,40,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.639149041894653,1.0,0.0,0.0,0.0,42,41,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.395574312643106,0.0,1.0,0.0,0.0,43,42,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.21790216847384,0.0,0.0,0.0,1.0,44,43,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.731911307609757,0.0,1.0,0.0,0.0,45,44,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.630897370589704,1.0,0.0,0.0,0.0,46,45,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.343481058137742,0.0,1.0,0.0,0.0,47,46,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.72419549864664,0.0,1.0,0.0,0.0,48,47,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.489400593322623,0.0,0.0,0.0,1.0,49,48,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.515056081039007,1.0,0.0,0.0,0.0,50,49,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.35500667862858,1.0,0.0,0.0,0.0,51,50,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.488364212786827,0.0,0.0,1.0,0.0,52,51,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.956730697611407,0.0,1.0,0.0,0.0,53,52,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.851862178128751,0.0,0.0,1.0,0.0,54,53,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.330594394297869,1.0,0.0,0.0,0.0,55,54,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.373574292122044,0.0,0.0,0.0,1.0,56,55,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.424755972679245,0.0,0.0,0.0,1.0,57,56,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.666308035111266,0.0,1.0,0.0,0.0,58,57,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.870843826011729,0.0,1.0,0.0,0.0,59,58,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.840038516884627,0.0,0.0,1.0,0.0,60,59,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.329001137885282,0.0,0.0,0.0,1.0,61,60,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.19131538063111,0.0,0.0,1.0,0.0,62,61,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.926518520034563,0.0,1.0,0.0,0.0,63,62,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.164226335836897,0.0,0.0,1.0,0.0,64,63,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.186968076777298,1.0,0.0,0.0,0.0,65,64,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.180908141057703,0.0,0.0,0.0,1.0,66,65,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.249119546897614,1.0,0.0,0.0,0.0,67,66,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.037479893780192,0.0,1.0,0.0,0.0,68,67,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.7848144657484095,1.0,0.0,0.0,0.0,69,68,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.091531301433527,1.0,0.0,0.0,0.0,70,69,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9017981757021278,0.0,1.0,0.0,0.0,71,70,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.541265274606923,0.0,0.0,0.0,1.0,72,71,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.020423097663619,0.0,0.0,1.0,0.0,73,72,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.575007738591676,0.0,0.0,0.0,1.0,74,73,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.149351136090667,1.0,0.0,0.0,0.0,75,74,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.666361578897702,0.0,0.0,1.0,0.0,76,75,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.194645047999776,0.0,1.0,0.0,0.0,77,76,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.19562209355597,1.0,0.0,0.0,0.0,78,77,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.85426083053871,0.0,1.0,0.0,0.0,79,78,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.953199904282796,0.0,0.0,0.0,1.0,80,79,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.735959631920451,0.0,0.0,1.0,0.0,81,80,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.965604142277702,0.0,1.0,0.0,0.0,82,81,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.021153245062154,1.0,0.0,0.0,0.0,83,82,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.358364479568866,0.0,0.0,0.0,1.0,84,83,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.166927932420785,0.0,0.0,1.0,0.0,85,84,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0638386905923465,0.0,0.0,1.0,0.0,86,85,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.316203167252263,1.0,0.0,0.0,0.0,87,86,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.20656767844975,0.0,0.0,0.0,1.0,88,87,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.45965071721857,0.0,0.0,1.0,0.0,89,88,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.094301203563013,0.0,1.0,0.0,0.0,90,89,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.303076155455763,0.0,1.0,0.0,0.0,91,90,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.728716778087268,1.0,0.0,0.0,0.0,92,91,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.039666051220976,0.0,0.0,0.0,1.0,93,92,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.43057979698079,0.0,0.0,0.0,1.0,94,93,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.475341165584173,0.0,0.0,0.0,1.0,95,94,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.519126448427327,0.0,1.0,0.0,0.0,96,95,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.978005465207787,0.0,0.0,0.0,1.0,97,96,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.598927285429317,0.0,0.0,0.0,1.0,98,97,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.327095713143411,0.0,1.0,0.0,0.0,99,98,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.17815740397281,1.0,0.0,0.0,0.0,100,99,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.685194478152711,0.0,0.0,0.0,1.0,101,100,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.390220333872622,1.0,0.0,0.0,0.0,102,101,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.184621269959585,0.0,1.0,0.0,0.0,103,102,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.991874629005245,0.0,0.0,0.0,1.0,104,103,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.31933997548597,1.0,0.0,0.0,0.0,105,104,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.5210665795715,0.0,0.0,1.0,0.0,106,105,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.300913389117301,1.0,0.0,0.0,0.0,107,106,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.927984823773084,0.0,0.0,0.0,1.0,108,107,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.876321783038016,0.0,1.0,0.0,0.0,109,108,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.85760120184156,0.0,1.0,0.0,0.0,110,109,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.426195022174085,0.0,1.0,0.0,0.0,111,110,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.022055124149695,0.0,0.0,1.0,0.0,112,111,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.63677763079356,0.0,1.0,0.0,0.0,113,112,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.159592219652062,0.0,0.0,1.0,0.0,114,113,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.070513555622435,0.0,1.0,0.0,0.0,115,114,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.464696414831614,0.0,1.0,0.0,0.0,116,115,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.866768188655016,0.0,1.0,0.0,0.0,117,116,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.167669018166526,0.0,0.0,1.0,0.0,118,117,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.753640180139469,0.0,0.0,0.0,1.0,119,118,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.517168799886209,0.0,0.0,1.0,0.0,120,119,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.377302160305216,0.0,0.0,1.0,0.0,121,120,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.606462491415321,0.0,0.0,0.0,1.0,122,121,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.507599631092909,0.0,0.0,1.0,0.0,123,122,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.688838926359768,1.0,0.0,0.0,0.0,124,123,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.027504368932114,1.0,0.0,0.0,0.0,125,124,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.918363398165832,1.0,0.0,0.0,0.0,126,125,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.245561276329846,0.0,0.0,0.0,1.0,127,126,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.76265303287308,1.0,0.0,0.0,0.0,128,127,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.110617794096363,0.0,1.0,0.0,0.0,129,128,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.927624249645792,0.0,0.0,0.0,1.0,130,129,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.689661547613737,0.0,0.0,0.0,1.0,131,130,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.361230871002513,1.0,0.0,0.0,0.0,132,131,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.446845535615617,0.0,0.0,1.0,0.0,133,132,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.340787509084294,1.0,0.0,0.0,0.0,134,133,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.088252405235403,0.0,0.0,1.0,0.0,135,134,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.052806639764775,0.0,1.0,0.0,0.0,136,135,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0784601010499273,1.0,0.0,0.0,0.0,137,136,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.594639976345654,0.0,0.0,0.0,1.0,138,137,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.427139656483364,0.0,0.0,1.0,0.0,139,138,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.5599469511589,0.0,0.0,1.0,0.0,140,139,90
