condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,endpoint_vis,clamp,rot,instruct_phase,instruct_state
condition_1,0,1,baseline_no_fb,1,90,0.0,0.0,0.0,-0.4460427605148293,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0
condition_1,0,2,baseline_no_fb,1,270,0.0,0.0,0.0,0.9103114106053579,,1.0
condition_1,0,3,baseline_no_fb,1,0,0.0,0.0,0.0,1.159875875019664,,1.0
condition_1,0,4,baseline_no_fb,1,180,0.0,0.0,0.0,-0.08767746794047454,,1.0
condition_1,0,5,baseline_no_fb,1,75,0.0,0.0,0.0,1.7394728430619864,,1.0
condition_1,0,6,baseline_no_fb,1,60,0.0,0.0,0.0,0.07389949482868881,,1.0
condition_1,0,7,baseline_no_fb,1,315,0.0,0.0,0.0,-1.7037418617936928,,1.0
condition_1,0,8,baseline_no_fb,1,30,0.0,0.0,0.0,2.1880649879418113,,1.0
condition_1,0,9,baseline_no_fb,1,225,0.0,0.0,0.0,-1.1033737544692337,,1.0
condition_1,0,10,baseline_no_fb,1,135,0.0,0.0,0.0,-2.0830390017664557,,1.0
condition_1,0,11,baseline_no_fb,1,45,0.0,0.0,0.0,-1.2502659939021654,,1.0
condition_1,0,12,baseline_no_fb,1,15,0.0,0.0,0.0,1.1309874416711958,,1.0
condition_1,0,13,baseline_no_fb,2,0,0.0,0.0,0.0,2.054579584144554,,1.0
condition_1,0,14,baseline_no_fb,2,45,0.0,0.0,0.0,-0.3233248090097317,,1.0
condition_1,0,15,baseline_no_fb,2,30,0.0,0.0,0.0,0.8245240634362283,,1.0
condition_1,0,16,baseline_no_fb,2,315,0.0,0.0,0.0,-1.7579606415028983,,1.0
condition_1,0,17,baseline_no_fb,2,90,0.0,0.0,0.0,-0.4941696148725973,,1.0
condition_1,0,18,baseline_no_fb,2,180,0.0,0.0,0.0,-0.09778030685924352,,1.0
condition_1,0,19,baseline_no_fb,2,15,0.0,0.0,0.0,1.0696162980351034,,1.0
condition_1,0,20,baseline_no_fb,2,135,0.0,0.0,0.0,-1.4248403560236205,,1.0
condition_1,0,21,baseline_no_fb,2,225,0.0,0.0,0.0,1.6609960886500001,,1.0
condition_1,0,22,baseline_no_fb,2,60,0.0,0.0,0.0,-1.3777170740327285,,1.0
condition_1,0,23,baseline_no_fb,2,75,0.0,0.0,0.0,-0.3606812873418583,,1.0
condition_1,0,24,baseline_no_fb,2,270,0.0,0.0,0.0,-1.3962298866984266,,1.0
condition_1,0,25,baseline_no_fb,3,315,0.0,0.0,0.0,-0.37481562175181937,,1.0
condition_1,0,26,baseline_no_fb,3,15,0.0,0.0,0.0,0.029941693156891706,,1.0
condition_1,0,27,baseline_no_fb,3,30,0.0,0.0,0.0,1.6830454908895174,,1.0
condition_1,0,28,baseline_no_fb,3,45,0.0,0.0,0.0,-1.4495974160925165,,1.0
condition_1,0,29,baseline_no_fb,3,0,0.0,0.0,0.0,-1.6278256703354128,,1.0
condition_1,0,30,baseline_no_fb,3,225,0.0,0.0,0.0,0.5978658958824007,,1.0
condition_1,0,31,baseline_no_fb,3,180,0.0,0.0,0.0,-0.6915384761132644,,1.0
condition_1,0,32,baseline_no_fb,3,270,0.0,0.0,0.0,-1.1769870027604408,,1.0
condition_1,0,33,baseline_no_fb,3,60,0.0,0.0,0.0,1.4476353382473357,,1.0
condition_1,0,34,baseline_no_fb,3,75,0.0,0.0,0.0,-0.46388346493078475,,1.0
condition_1,0,35,baseline_no_fb,3,135,0.0,0.0,0.0,-1.792873793976086,,1.0
condition_1,0,36,baseline_no_fb,3,90,0.0,0.0,0.0,-0.5817020032124923,,1.0
condition_1,0,37,baseline_no_fb,4,225,0.0,0.0,0.0,-0.31692080820865925,,1.0
condition_1,0,38,baseline_no_fb,4,270,0.0,0.0,0.0,1.343254349755712,,1.0
condition_1,0,39,baseline_no_fb,4,30,0.0,0.0,0.0,0.23550914847437887,,1.0
condition_1,0,40,baseline_no_fb,4,45,0.0,0.0,0.0,-0.17069595308032504,,1.0
condition_1,0,41,baseline_no_fb,4,180,0.0,0.0,0.0,0.7019241925954838,,1.0
condition_1,0,42,baseline_no_fb,4,90,0.0,0.0,0.0,-1.4673779497431074,,1.0
condition_1,0,43,baseline_no_fb,4,60,0.0,0.0,0.0,-0.3563389860065056,,1.0
condition_1,0,44,baseline_no_fb,4,135,0.0,0.0,0.0,0.9816889257056294,,1.0
condition_1,0,45,baseline_no_fb,4,0,0.0,0.0,0.0,0.3210941041041921,,1.0
condition_1,0,46,baseline_no_fb,4,75,0.0,0.0,0.0,0.7091034914727183,,1.0
condition_1,0,47,baseline_no_fb,4,315,0.0,0.0,0.0,0.45927756365387207,,1.0
condition_1,0,48,baseline_no_fb,4,15,0.0,0.0,0.0,-0.3087683356781402,,1.0
condition_1,0,49,baseline_no_fb,5,0,0.0,0.0,0.0,-0.48191986990446045,,1.0
condition_1,0,50,baseline_no_fb,5,75,0.0,0.0,0.0,-1.0552178876811442,,1.0
condition_1,0,51,baseline_no_fb,5,15,0.0,0.0,0.0,-0.7953889342342644,,1.0
condition_1,0,52,baseline_no_fb,5,135,0.0,0.0,0.0,0.6263051094592464,,1.0
condition_1,0,53,baseline_no_fb,5,225,0.0,0.0,0.0,-0.375367324556745,,1.0
condition_1,0,54,baseline_no_fb,5,45,0.0,0.0,0.0,-0.1300249307737965,,1.0
condition_1,0,55,baseline_no_fb,5,315,0.0,0.0,0.0,0.7938545293767302,,1.0
condition_1,0,56,baseline_no_fb,5,90,0.0,0.0,0.0,0.8078151625378487,,1.0
condition_1,0,57,baseline_no_fb,5,30,0.0,0.0,0.0,0.10546439774106088,,1.0
